gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired,salary
M,FRS,Fire and Rescue Services,Station 4,Fulltime-Regular,Fire/Rescue Captain,03/07/1994,1994,114087.02
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Supervisor,12/04/1989,1989,99870.24
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),05/01/2006,2006,65105.0
M,DGS,Department of General Services,Fleet Management Services,Fulltime-Regular,Supply Technician III,09/20/2004,2004,58448.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,08/20/2007,2007,46325.1
M,COR,Correction and Rehabilitation,DS Food Services,Fulltime-Regular,Correctional Dietary Officer II,04/21/2003,2003,58327.42
F,FIN,Department of Finance,Division of Fiscal Management,Fulltime-Regular,Manager II,09/20/1999,1999,156511.2
M,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer III (Corporal),11/14/2005,2005,67384.0
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,10/28/1979,1979,92756.7
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016,45261.0
F,HHS,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Client Assistance Specialist,02/21/1995,1995,67993.85
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,11/04/2001,2001,53259.3
F,OCP,Office of Consumer Protection,Operations,Fulltime-Regular,Management and Budget Specialist III,09/10/1984,1984,104717.28
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Public Service Craftsworker,11/28/2005,2005,64141.0
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016,45261.0
M,POL,Department of Police,PSB 3rd District Traffic Squad,Fulltime-Regular,Police Officer III,12/11/2006,2006,72902.0
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Building Services Inspector,06/04/1990,1990,57476.06
M,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Program Specialist I,06/04/2012,2012,49618.44
F,HHS,Department of Health and Human Services,Rental Assistance,Fulltime-Regular,Income Assistance Program Specialist II,08/14/2000,2000,76741.59
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,06/17/2013,2013,41781.91
M,FRS,Fire and Rescue Services,Station 35,Fulltime-Regular,Fire/Rescue Captain,08/05/1991,1991,117174.02
F,HHS,Department of Health and Human Services,School Based Health Centers,Fulltime-Regular,Community Health Nurse II,08/05/2002,2002,97912.0
F,POL,Department of Police,ISB Family Crimes Division Child Abuse Sexual Assault Section,Fulltime-Regular,Police Officer III,06/13/1994,1994,92756.7
M,POL,Department of Police,ISB Major Crimes Division Homicide and Sex Section,Fulltime-Regular,Police Officer III,07/26/1993,1993,92756.7
F,DOT,Department of Transportation,Transit Services,Fulltime-Regular,Executive Administrative Aide,04/18/2016,2016,68943.0
M,DPS,Department of Permitting Services,Land Development Right-of-Way Inspection,Fulltime-Regular,Permitting and Code Enforcement Inspector III,10/11/1991,1991,90900.83
M,POL,Department of Police,ISB Family Crimes Division Child Abuse Sexual Assault Section,Fulltime-Regular,Master Police Officer,06/13/1994,1994,97392.47
F,HCA,Department of Housing and Community Affairs,Housing Code Enforcement,Fulltime-Regular,Housing Code Inspector II,08/24/2009,2009,64541.64
M,LIB,Department of Public Libraries,Twinbrook Library,Fulltime-Regular,Manager III,09/03/1996,1996,135043.61
F,HHS,Department of Health and Human Services,Victim Assistance and Sexual Assault Program,Fulltime-Regular,Principal Administrative Aide,04/04/2016,2016,37386.0
F,LIB,Department of Public Libraries,Chevy Chase Library,Parttime-Regular,Library Associate,09/26/2013,2013,22376.5
F,FIN,Department of Finance,Division of Fiscal Management,Fulltime-Regular,Senior Management and Budget Specialist,10/21/2013,2013,112899.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Office Services Coordinator,03/07/2005,2005,67206.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,03/07/2005,2005,51697.37
M,DOT,Department of Transportation,Transportation Property Acquisition Section,Fulltime-Regular,Real Estate Specialist III,03/10/1997,1997,102664.0
M,POL,Department of Police,ISB Major Crimes Division Robbery Section,Fulltime-Regular,Police Officer III,09/18/1995,1995,92756.7
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,03/11/2013,2013,81131.46
M,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,12/19/2011,2011,64871.95
M,FRS,Fire and Rescue Services,Station 33,Fulltime-Regular,Firefighter/Rescuer III,09/04/2001,2001,72861.0
F,DLC,Department of Liquor Control,Administration,Fulltime-Regular,Alcohol Beverage Purchasing Specialist,12/18/2000,2000,71469.87
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),07/24/2000,2000,77328.0
M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Warehouse Equipment Operator,11/26/2007,2007,44475.41
F,PIO,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative I,11/04/2013,2013,40728.37
M,DTS,Department of Technology Services,ETSD Network Services,Fulltime-Regular,Manager III,05/05/2003,2003,135378.04
M,REC,Department of Recreation,Youth Development Your Sports/Activities,Fulltime-Regular,Recreation Specialist,05/08/2011,2011,62417.64
F,LIB,Department of Public Libraries,Collection Development Administration,Fulltime-Regular,Senior Librarian,09/07/1993,1993,76076.95
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,02/09/2009,2009,54402.73
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,01/03/2012,2012,57234.12
M,POL,Department of Police,ISB Major Crimes Division Homicide and Sex Section,Fulltime-Regular,Police Sergeant,06/14/1994,1994,107128.71
M,FRS,Fire and Rescue Services,Station 24,Fulltime-Regular,Master Firefighter/Rescuer,09/03/2002,2002,85854.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,05/13/2001,2001,60713.84
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016,45261.0
M,HHS,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Social Worker IV,05/10/2010,2010,71377.33
F,FIN,Department of Finance,Management and Operations - Director,Fulltime-Regular,Manager III,02/27/1989,1989,134105.88
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,01/06/1986,1986,57807.08
M,POL,Department of Police,PSB 4th District Traffic Squad,Fulltime-Regular,Master Police Officer,05/10/1993,1993,97392.47
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,03/02/1998,1998,76405.9
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,01/18/1994,1994,92756.7
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Community Services Aide III,07/28/2014,2014,47940.52
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,08/07/1989,1989,92756.7
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,01/14/2002,2002,89620.0
F,HHS,Department of Health and Human Services,"Chief, Children Youth and Families",Fulltime-Regular,Executive Administrative Aide,02/07/2008,2008,55275.0
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist II,12/01/2014,2014,48571.6
M,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Health Nurse II,01/05/1987,1987,100849.36
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,02/12/2001,2001,86588.0
M,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer III,09/12/1988,1988,92756.7
F,FIN,Department of Finance,General Accounting,Fulltime-Regular,Accountant/Auditor III,09/10/1984,1984,96197.88
M,LIB,Department of Public Libraries,Long Branch Library,Fulltime-Regular,Manager III,10/08/2012,2012,75476.5
F,HHS,Department of Health and Human Services,Home Care Services,Fulltime-Regular,Social Worker IV,06/22/2009,2009,93962.42
F,HHS,Department of Health and Human Services,Information Systems and Technology,Fulltime-Regular,Senior Information Technology Specialist,04/17/2006,2006,118400.0
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer II,08/12/2013,2013,58455.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,06/12/1994,1994,46325.1
F,REC,Department of Recreation,Management Services,Fulltime-Regular,Office Services Coordinator,09/07/2003,2003,59325.62
M,DLC,Department of Liquor Control,Wheaton,Parttime-Regular,Liquor Store Clerk I,01/23/2001,2001,39218.77
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,03/04/2001,2001,60711.33
F,COR,Correction and Rehabilitation,DS Inmate Records,Fulltime-Regular,Administrative Specialist II,08/12/1990,1990,84974.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,01/28/2002,2002,55022.21
M,FRS,Fire and Rescue Services,Station 19,Fulltime-Regular,Master Firefighter/Rescuer,09/20/1993,1993,91969.07
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Maintenance Renovation and Inspection Specialist,05/07/2000,2000,84974.0
F,HHS,Department of Health and Human Services,OESS-Health Care for the Uninsured,Fulltime-Regular,Principal Administrative Aide,07/16/2012,2012,41517.19
F,LIB,Department of Public Libraries,Gaithersburg Library,Parttime-Regular,Librarian I,10/06/2014,2014,27527.1
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Supervisor,01/04/1999,1999,97912.0
F,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,08/27/2007,2007,48258.81
F,LIB,Department of Public Libraries,Collection Development,Fulltime-Regular,Librarian II,01/05/2009,2009,75928.99
M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer I (Private),10/31/2016,2016,44300.0
M,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Supervisor (Sergeant),02/25/1990,1990,94277.96
M,DPS,Department of Permitting Services,"Team 4 Commercial Electrical, Mechanical and Fire Protection Systems",Fulltime-Regular,Permitting and Code Enforcement Inspector III,07/30/2012,2012,65069.63
F,POL,Department of Police,PSB 1st District Station,Fulltime-Regular,Office Services Coordinator,03/27/1995,1995,69222.18
F,HHS,Department of Health and Human Services,Information Systems and Technology,Fulltime-Regular,Senior Information Technology Specialist,08/07/2006,2006,118400.0
M,DPS,Department of Permitting Services,Information Technology Services,Fulltime-Regular,Information Technology Specialist III,07/10/2000,2000,107657.0
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,03/23/2009,2009,56305.93
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist I,11/30/2015,2015,42662.89
M,FRS,Fire and Rescue Services,Station 32,Fulltime-Regular,Firefighter/Rescuer II,09/22/2014,2014,50910.0
F,DHS,Office of Emergency Management and Homeland Security,Director's Office,Fulltime-Regular,Administrative Specialist II,01/30/1989,1989,77096.48
M,DGS,Department of General Services,Fleet Management Services,Fulltime-Regular,Supply Technician III,03/09/2015,2015,50131.24
F,DGS,Department of General Services,Fleet Management Administration,Fulltime-Regular,Executive Administrative Aide,11/25/2002,2002,70422.0
M,HHS,Department of Health and Human Services,Asian American Health Initiative,Fulltime-Regular,Program Manager II,05/20/2013,2013,91220.65
M,DTS,Department of Technology Services,ERP Technical Support,Fulltime-Regular,Enterprise Technology Expert,11/17/2003,2003,149164.0
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,05/13/2002,2002,83658.0
M,POL,Department of Police,PSB 2nd District Traffic Squad,Fulltime-Regular,Police Sergeant,11/08/1999,1999,103506.0
M,DLC,Department of Liquor Control,Liquor and Wine Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,11/13/2006,2006,49949.25
M,BOE,Board of Elections,Polling Place Management,Fulltime-Regular,Supply Technician II,10/10/1995,1995,57476.06
M,COR,Correction and Rehabilitation,DS MCCF Case Managers Unit 2,Fulltime-Regular,Correctional Specialist II,02/16/1988,1988,91751.37
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Community Services Aide III,10/06/1971,1971,76015.03
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,01/18/2005,2005,75453.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,08/06/2007,2007,45048.5
F,HHS,Department of Health and Human Services,Care Coordination,Fulltime-Regular,Community Health Nurse II,07/10/2006,2006,97912.0
M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Firefighter/Rescuer II,01/14/2013,2013,52693.0
M,HHS,Department of Health and Human Services,Urine Monitoring Program,Fulltime-Regular,Community Services Aide III,12/02/2013,2013,50407.03
F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,05/12/2002,2002,58671.02
F,HHS,Department of Health and Human Services,Educational Support,Fulltime-Regular,Office Services Coordinator,10/20/2014,2014,43850.22
F,FIN,Department of Finance,Tax Operations,Fulltime-Regular,Office Services Coordinator,05/29/2001,2001,67206.0
F,HCA,Department of Housing and Community Affairs,Community Development Neighborhood Revitalization,Fulltime-Regular,Senior Planning Specialist,03/03/1997,1997,102664.0
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,09/29/2008,2008,19060.61
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,11/27/2006,2006,71926.13
M,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer III (Corporal),10/17/2005,2005,67384.0
F,LIB,Department of Public Libraries,Long Branch Library,Parttime-Regular,Library Assistant I,02/17/2007,2007,21074.1
M,DTS,Department of Technology Services,EASD - DCM Services,Fulltime-Regular,Senior Information Technology Specialist,05/03/2004,2004,118400.0
M,DTS,Department of Technology Services,ETSD Network Services,Fulltime-Regular,Senior Information Technology Specialist,10/17/2005,2005,118400.0
F,DOT,Department of Transportation,Parking Management Financial Management,Fulltime-Regular,Management and Budget Specialist III,06/02/1997,1997,102664.0
M,DTS,Department of Technology Services,ESOD Core Services,Fulltime-Regular,Technology Expert,06/17/2002,2002,140794.0
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Community Services Aide III,11/22/1999,1999,72916.8
F,DTS,Department of Technology Services,ESOD Public Safety Data Support,Fulltime-Regular,Senior Information Technology Specialist,02/25/2013,2013,118400.0
